zip,lat,lng,population,density
601,18.18027,-66.75266,16721,100.2
602,18.36075,-67.17541,37510,477.6
603,18.45744,-67.12225,48317,543.1
606,18.16585,-66.93716,5435,47.3
610,18.2911,-67.12243,25413,264.4
611,18.27698,-66.80688,1522,55.2
612,18.41283,-66.7051,62462,316.7
616,18.41878,-66.6679,9836,348.9
617,18.44598,-66.56006,22699,477.5
622,17.98892,-67.1566,7950,98.5
623,18.08429,-67.15336,39005,384.2
624,18.05905,-66.71932,21374,175.7
627,18.41905,-66.86037,32753,272.7
631,18.1852,-66.83169,1357,167.6
637,18.081,-66.94659,22884,251.2
638,18.28462,-66.5137,17410,94.1
641,18.26742,-66.70212,23962,110.0
646,18.43251,-66.28429,36099,662.1
647,17.96667,-66.94266,4611,112.6
650,18.34487,-66.58347,13457,163.8
652,18.45614,-66.60194,4492,269.2
653,17.99413,-66.90266,8665,151.5
656,18.04186,-66.79123,17815,163.2
659,18.41036,-66.79691,37203,349.9
660,18.13412,-67.11399,15439,526.7
662,18.46622,-67.01508,40705,380.8
664,18.21064,-66.59066,14816,121.9
667,18.01246,-67.0417,23116,148.3
669,18.27019,-66.86727,27534,165.8
670,18.23782,-66.98852,8553,71.0
674,18.42229,-66.4891,39288,349.1
676,18.37897,-67.08098,36836,291.1
677,18.33535,-67.23155,15432,409.0
678,18.42949,-66.93016,24848,329.2
680,18.16307,-67.36122,42817,257.1
682,18.22415,-67.15309,29939,708.7
683,18.10926,-67.03803,29431,230.5
685,18.33656,-66.97518,40323,197.8
687,18.31707,-66.42029,28534,283.4
688,18.3807,-66.62496,10985,130.5
690,18.49363,-67.09734,6275,1071.5
692,18.40905,-66.33768,32717,476.2
693,18.42633,-66.39811,55725,484.5
694,18.48327,-66.39269,125,60.4
698,18.07274,-66.85519,32945,203.0
703,18.24739,-66.13143,24642,306.7
704,17.97442,-66.22888,6433,276.1
705,18.1294,-66.26653,24475,310.8
707,18.01752,-65.92127,10400,191.9
714,17.9981,-66.05635,15573,400.8
715,17.99738,-66.56104,2003,60.9
716,17.99942,-66.59868,27705,1234.1
717,18.00272,-66.61146,14651,2384.0
718,18.23145,-65.76067,23174,189.5
719,18.28879,-66.25316,29732,406.9
720,18.21559,-66.42421,20974,144.3
723,18.03139,-66.01122,15835,132.9
725,18.22052,-66.03962,76246,711.7
727,18.21142,-66.07374,53412,914.0
728,18.00697,-66.65995,37322,935.9
729,18.33524,-65.88677,47653,514.6
730,18.03256,-66.61384,31976,1860.0
731,18.09914,-66.63279,10221,80.6
735,18.2525,-65.67534,11159,157.4
736,18.10736,-66.14994,45528,320.2
738,18.31793,-65.66793,29797,388.4
739,18.17543,-66.16198,34595,434.1
740,18.33251,-65.63419,1959,1811.6
741,18.16569,-65.75506,3733,633.1
745,18.3466,-65.81382,47077,299.2
751,18.01205,-66.25871,19596,124.6
754,18.1447,-65.97565,36822,284.4
757,17.9933,-66.39056,19974,237.8
765,18.12365,-65.43013,8147,66.6
766,18.13039,-66.4757,21829,220.8
767,18.07033,-65.89618,30453,213.1
769,18.09459,-66.3607,33953,170.1
771,18.18797,-65.86916,35165,404.1
772,18.43048,-65.90377,16961,400.7
773,18.34073,-65.72756,17631,282.5
775,18.31387,-65.28618,1281,42.5
